participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	Background+FreeSurfer_Defined_Medial_Wall	9040	5507	2237	0.402	1.021	0.081	0.020	59	7.0	1	0	3.0103	10.0762	-61.0894	57.4905	118.5798	0.2988
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_1	1265	830	2135	2.670	0.459	0.104	0.017	11	0.9	2	1	24.8875	6.7513	-3.3675	37.2248	40.5923	3.6864
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_2	2863	1962	4257	2.231	0.540	0.132	0.026	39	2.8	3	2	24.3968	5.9825	8.0430	37.9822	29.9392	4.0780
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_3	1681	1120	3276	2.794	0.474	0.110	0.020	22	1.2	4	3	27.3467	6.1266	0.2967	38.6414	38.3446	4.4636
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_4	1634	1216	2440	2.019	0.658	0.168	0.038	31	2.5	5	4	19.8832	5.8731	1.0255	33.4349	32.4094	3.3855
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_5	1493	965	1955	1.957	0.674	0.140	0.031	20	2.1	6	5	19.8663	6.8530	-18.4688	43.5826	62.0514	2.8989
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_6	424	284	614	2.367	0.572	0.120	0.020	6	0.4	7	6	22.4681	6.5903	0.0000	34.4492	34.4492	3.4093
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_7	2439	1680	2277	1.390	0.392	0.135	0.029	35	2.9	8	7	17.4103	6.4656	-6.8423	50.1733	57.0156	2.6928
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_8	1696	1147	3080	2.590	0.340	0.109	0.017	21	1.1	9	8	27.5773	5.7297	-1.7741	40.0336	41.8077	4.8131
sub-21146	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_9	1303	877	1446	1.857	0.466	0.154	0.038	18	2.1	10	9	23.0255	6.3047	7.0131	35.0185	28.0054	3.6521
