participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-21553	ses-2	HOCPATh25	lh	Frontal_Pole	8968	6585	21363	2.871	0.549	0.132	0.028	132	10.5	2	1	34.2051	8.5469	-14.8665	56.2693	71.1358	4.0021
sub-21553	ses-2	HOCPATh25	lh	Insular_Cortex	2677	1800	5867	3.466	0.655	0.099	0.016	20	1.8	3	2	30.3553	7.2937	-0.2886	45.8060	46.0946	4.1619
sub-21553	ses-2	HOCPATh25	lh	Superior_Frontal_Gyrus	5646	3812	12143	2.949	0.508	0.109	0.020	50	4.6	4	3	35.9002	6.4485	-6.6267	55.6315	62.2582	5.5673
sub-21553	ses-2	HOCPATh25	lh	Middle_Frontal_Gyrus	4133	2905	8839	2.720	0.444	0.112	0.021	49	3.8	5	4	34.1358	7.2275	-15.7541	49.7126	65.4667	4.7230
sub-21553	ses-2	HOCPATh25	lh	Inferior_Frontal_Gyrus_pars_triangularis	1570	1084	3653	2.818	0.445	0.115	0.020	20	1.3	6	5	32.9506	7.9624	-0.9591	46.9689	47.9279	4.1383
sub-21553	ses-2	HOCPATh25	lh	Inferior_Frontal_Gyrus_pars_opercularis	1354	942	2840	2.754	0.371	0.110	0.018	16	1.1	7	6	33.1028	7.0788	7.4547	48.8396	41.3848	4.6763
sub-21553	ses-2	HOCPATh25	lh	Precentral_Gyrus	7609	4897	14783	2.778	0.443	0.095	0.015	57	4.9	8	7	30.9091	6.2801	-6.6321	46.8680	53.5000	4.9218
sub-21553	ses-2	HOCPATh25	lh	Temporal_Pole	2709	1966	8176	3.441	0.488	0.120	0.023	32	2.7	9	8	31.5580	8.1696	-6.5552	49.1959	55.7512	3.8629
sub-21553	ses-2	HOCPATh25	lh	Superior_Temporal_Gyrus_anterior_division	600	412	1052	2.762	0.446	0.121	0.018	8	0.5	10	9	31.2743	7.5031	4.7480	42.4649	37.7168	4.1682
sub-21553	ses-2	HOCPATh25	lh	Superior_Temporal_Gyrus_posterior_division	1076	660	2725	3.210	0.471	0.085	0.014	8	0.7	11	10	32.7636	5.3409	12.1130	43.8158	31.7028	6.1345
sub-21553	ses-2	HOCPATh25	lh	Middle_Temporal_Gyrus_anterior_division	595	421	1628	3.133	0.607	0.136	0.027	9	0.7	12	11	31.7600	7.2638	5.3945	47.0617	41.6672	4.3724
sub-21553	ses-2	HOCPATh25	lh	Middle_Temporal_Gyrus_posterior_division	2384	1658	5538	3.009	0.497	0.122	0.024	28	2.5	13	12	32.6435	8.1290	-4.8802	47.0794	51.9595	4.0157
sub-21553	ses-2	HOCPATh25	lh	Middle_Temporal_Gyrus_temporooccipital_part	2222	1479	4603	2.753	0.534	0.107	0.021	27	2.0	14	13	32.5612	7.4241	-4.1798	47.0818	51.2616	4.3859
sub-21553	ses-2	HOCPATh25	lh	Inferior_Temporal_Gyrus_anterior_division	442	311	1191	3.195	0.580	0.123	0.031	6	0.4	15	14	31.5033	8.3827	2.8369	44.9379	42.1010	3.7581
sub-21553	ses-2	HOCPATh25	lh	Inferior_Temporal_Gyrus_posterior_division	1979	1440	4575	3.023	0.561	0.123	0.028	37	2.1	16	15	31.7831	10.1631	-9.3891	54.1085	63.4976	3.1273
sub-21553	ses-2	HOCPATh25	lh	Inferior_Temporal_Gyrus_temporooccipital_part	1548	1036	3405	3.010	0.557	0.110	0.018	17	1.2	17	16	32.7988	7.8515	-9.4210	48.3012	57.7222	4.1774
sub-21553	ses-2	HOCPATh25	lh	Postcentral_Gyrus	7543	4891	12217	2.340	0.571	0.100	0.017	63	5.5	18	17	28.5161	7.2995	-18.7996	46.9386	65.7382	3.9066
sub-21553	ses-2	HOCPATh25	lh	Superior_Parietal_Lobule	3704	2497	6646	2.474	0.392	0.110	0.018	38	2.9	19	18	32.5945	5.9184	-0.6342	48.6238	49.2580	5.5073
sub-21553	ses-2	HOCPATh25	lh	Supramarginal_Gyrus_anterior_division	2080	1416	4791	2.893	0.397	0.115	0.020	26	1.7	20	19	34.3382	7.5319	6.0781	48.9037	42.8256	4.5590
sub-21553	ses-2	HOCPATh25	lh	Supramarginal_Gyrus_posterior_division	2096	1420	4628	2.925	0.552	0.099	0.017	21	1.4	21	20	34.3229	6.8263	-3.3442	47.5938	50.9379	5.0280
sub-21553	ses-2	HOCPATh25	lh	Angular_Gyrus	2072	1374	3991	2.832	0.416	0.096	0.016	18	1.2	22	21	34.1616	7.4353	0.8612	48.2692	47.4081	4.5945
sub-21553	ses-2	HOCPATh25	lh	Lateral_Occipital_Cortex_superior_division	9215	6203	17699	2.649	0.440	0.110	0.018	130	7.1	23	22	30.6573	6.9832	-6.7022	47.8538	54.5560	4.3901
sub-21553	ses-2	HOCPATh25	lh	Lateral_Occipital_Cortex_inferior_division	4646	3047	8232	2.572	0.517	0.115	0.022	54	4.1	24	23	29.6518	6.7067	-3.2890	45.4194	48.7084	4.4213
sub-21553	ses-2	HOCPATh25	lh	Intracalcarine_Cortex	1442	1033	1728	1.981	0.592	0.134	0.028	16	1.7	25	24	20.5843	6.7206	-9.3868	40.5422	49.9290	3.0628
sub-21553	ses-2	HOCPATh25	lh	Frontal_Medial_Cortex	912	683	1956	2.587	0.532	0.149	0.028	24	1.4	26	25	29.8642	9.4539	-0.7716	50.0484	50.8199	3.1589
sub-21553	ses-2	HOCPATh25	lh	Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex	1445	961	3815	3.408	0.525	0.107	0.022	13	1.2	27	26	33.6274	6.6431	3.7805	47.2532	43.4727	5.0620
sub-21553	ses-2	HOCPATh25	lh	Subcallosal_Cortex	1003	649	1974	2.950	0.848	0.122	0.024	15	1.1	28	27	29.2901	7.8181	4.8289	46.7971	41.9682	3.7464
