participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	FreeSurfer_Defined_Medial_Wall	9660	6001	2908	0.482	1.044	0.085	0.021	64	8.0	1	0	5.1131	11.8771	-14.7215	57.8611	72.5826	0.4305
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_1	13064	8751	21971	2.418	0.553	0.124	0.025	159	13.7	2	1	24.0730	7.3475	-5.5825	41.7591	47.3416	3.2763
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_2	9408	6609	14243	2.219	0.619	0.128	0.028	109	11.1	3	2	21.9193	7.1849	-6.3676	40.9297	47.2974	3.0507
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_3	12479	8053	22554	2.598	0.578	0.099	0.017	97	8.9	4	3	24.7693	6.4878	1.8860	42.9664	41.0803	3.8178
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_4	9459	6143	18907	2.961	0.556	0.101	0.017	79	6.8	5	4	26.6226	6.0209	-17.5800	42.5454	60.1254	4.4217
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_5	7860	5367	15103	2.708	0.462	0.109	0.019	82	6.4	6	5	29.3045	6.8743	-12.7073	43.9342	56.6415	4.2629
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_6	7613	5149	15115	2.865	0.492	0.110	0.021	72	6.7	7	6	30.4764	6.8346	0.4641	46.3871	45.9230	4.4592
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_7	8624	5786	18880	3.147	0.598	0.106	0.020	79	7.1	8	7	29.4461	7.9624	-7.1789	47.1776	54.3565	3.6981
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_8	6262	4357	14153	2.953	0.564	0.114	0.021	70	5.5	9	8	30.8706	8.0027	-12.1791	46.8362	59.0154	3.8575
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_9	6817	4771	17083	3.134	0.844	0.109	0.024	81	6.5	10	9	28.5779	9.1412	-16.2008	52.2325	68.4333	3.1263
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_10	5391	3859	12664	2.915	0.653	0.127	0.025	92	5.4	11	10	29.4474	9.1355	-19.5285	48.4545	67.9830	3.2234
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_11	2426	1685	4600	2.543	0.768	0.119	0.022	33	2.0	12	11	26.9789	6.9644	-5.4823	45.3436	50.8259	3.8738
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_12	9472	6449	18268	2.733	0.538	0.102	0.017	89	6.6	13	12	31.7469	6.9735	-16.2757	45.8425	62.1182	4.5525
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_13	7490	5172	16809	2.787	0.532	0.112	0.019	94	5.9	14	13	30.6083	7.6287	-2.5133	46.9395	49.4527	4.0123
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_14	4222	2729	9747	3.090	0.516	0.091	0.016	41	2.7	15	14	28.9831	7.1352	-1.6373	47.2435	48.8808	4.0620
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_15	3328	2275	7289	3.000	0.793	0.116	0.023	40	3.1	16	15	27.0861	8.7760	-1.0215	43.9131	44.9346	3.0864
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_16	11653	8340	25825	2.841	0.504	0.124	0.024	183	11.8	17	16	30.1675	8.4235	-12.7252	49.6996	62.4248	3.5814
sub-21855	ses-1	Yeo2011_17Networks_N1000	lh	17Networks_17	16561	11683	40414	2.986	0.564	0.111	0.021	205	13.1	18	17	30.0155	8.0950	-15.9511	48.5166	64.4676	3.7079
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	FreeSurfer_Defined_Medial_Wall	9262	5758	1629	0.303	0.803	0.080	0.020	54	7.4	1	0	2.6963	8.8231	-65.1723	51.6587	116.8311	0.3056
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_1	14808	9520	23492	2.403	0.602	0.122	0.024	170	15.3	2	1	23.0137	7.2450	-1.8607	41.1049	42.9657	3.1765
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_2	8923	6001	13649	2.329	0.570	0.115	0.023	86	8.7	3	2	21.3285	6.6153	-30.7512	40.4411	71.1922	3.2241
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_3	10231	6438	17459	2.512	0.584	0.095	0.015	77	6.7	4	3	22.9370	5.5974	-0.8024	38.6967	39.4991	4.0978
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_4	9040	5920	17586	2.853	0.510	0.099	0.015	87	5.5	5	4	26.8921	5.8398	0.7192	43.3979	42.6787	4.6050
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_5	10606	7092	20601	2.709	0.482	0.106	0.018	116	8.0	6	5	27.4771	6.9685	1.4496	41.4621	40.0125	3.9430
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_6	7687	5186	14357	2.612	0.434	0.101	0.016	74	5.3	7	6	29.3840	6.6018	-2.8816	45.0973	47.9789	4.4509
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_7	9356	6430	20204	2.982	0.635	0.105	0.019	97	7.2	8	7	28.7698	7.8558	-10.6968	45.7662	56.4630	3.6622
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_8	9357	6640	20110	2.802	0.553	0.112	0.021	108	8.1	9	8	31.0165	7.9615	-5.6384	46.3689	52.0073	3.8958
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_9	6635	4467	17009	3.251	0.810	0.103	0.022	65	5.5	10	9	28.4101	9.1873	-6.0456	54.3164	60.3620	3.0923
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_10	4750	3479	11457	2.927	0.689	0.134	0.033	97	5.9	11	10	28.6570	11.3229	-24.4354	54.4288	78.8642	2.5309
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_11	3058	2115	5378	2.444	0.603	0.121	0.021	40	2.8	12	11	26.3461	7.1733	0.0000	44.5538	44.5538	3.6728
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_12	8984	6024	16632	2.697	0.495	0.104	0.017	86	6.5	13	12	31.4100	6.7346	-1.5041	46.3299	47.8340	4.6640
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_13	13476	9476	29480	2.770	0.532	0.114	0.022	174	11.8	14	13	30.8701	7.9282	-9.6451	53.9925	63.6375	3.8937
sub-21855	ses-1	Yeo2011_17Networks_N1000	rh	17Networks_14	5240	3354	10663	3.004	0.566	0.092	0.016	43	3.4	15	14	30.0844	7.3022	-18.3775	46.3909	64.7684	4.1199
