participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-23698	ses-1	CC400	lh	region00001	383	264	544	2.076	0.561	0.107	0.021	4	0.3	2	1	20.7161	5.6173	6.3312	32.6415	26.3103	3.6879
sub-23698	ses-1	CC400	lh	region00003	719	450	1163	2.530	0.432	0.112	0.020	7	0.6	3	3	25.9962	6.3496	12.5691	39.8147	27.2456	4.0942
sub-23698	ses-1	CC400	lh	region00006	647	435	1232	2.473	0.279	0.116	0.019	7	0.6	4	6	25.7641	4.2123	11.8009	36.4040	24.6032	6.1164
sub-23698	ses-1	CC400	lh	region00007	544	377	1153	2.756	0.322	0.122	0.020	6	0.4	5	7	29.5556	5.9307	14.7940	43.2328	28.4388	4.9835
sub-23698	ses-1	CC400	lh	region00009	883	567	1579	3.171	0.425	0.098	0.013	5	0.6	6	9	32.6259	4.6830	13.2331	40.9237	27.6906	6.9669
sub-23698	ses-1	CC400	lh	region00010	829	536	1314	2.967	0.264	0.104	0.017	6	0.6	7	10	25.6898	5.1588	6.6516	36.6227	29.9712	4.9798
sub-23698	ses-1	CC400	lh	region00011	272	181	653	3.102	0.641	0.101	0.017	2	0.2	8	11	29.5189	5.4193	8.0905	39.2442	31.1537	5.4470
sub-23698	ses-1	CC400	lh	region00013	28	20	98	3.780	0.203	0.039	0.005	0	0.0	9	13	27.2957	2.6028	17.1619	30.1245	12.9626	10.4872
sub-23698	ses-1	CC400	lh	region00019	314	218	1419	4.315	0.564	0.113	0.023	3	0.3	10	19	27.6377	5.6627	12.1894	40.9322	28.7428	4.8806
sub-23698	ses-1	CC400	lh	region00020	521	334	1046	2.990	0.414	0.098	0.017	4	0.4	11	20	29.3175	6.3475	14.6258	41.6172	26.9915	4.6187
sub-23698	ses-1	CC400	lh	region00021	10	8	7	1.473	0.512	0.042	0.005	0	0.0	12	21	29.2322	11.3094	0.0000	40.0792	40.0792	2.5848
sub-23698	ses-1	CC400	lh	region00024	1371	900	1572	1.735	0.485	0.139	0.031	17	1.9	13	24	20.8689	5.4474	-0.8548	37.7428	38.5976	3.8310
sub-23698	ses-1	CC400	lh	region00025	419	280	754	2.699	0.405	0.103	0.015	3	0.3	14	25	29.7673	4.6755	18.7353	39.6501	20.9148	6.3667
sub-23698	ses-1	CC400	lh	region00028	805	455	1347	2.636	0.383	0.093	0.017	5	0.5	15	28	21.9008	7.3933	8.2127	38.2038	29.9911	2.9623
sub-23698	ses-1	CC400	lh	region00030	1347	893	2068	2.636	0.299	0.112	0.021	12	1.1	16	30	30.0860	4.8580	5.4982	38.4197	32.9215	6.1931
sub-23698	ses-1	CC400	lh	region00032	1017	654	1447	2.672	0.323	0.082	0.012	4	0.6	17	32	34.1224	3.7760	18.3963	43.6314	25.2351	9.0367
sub-23698	ses-1	CC400	lh	region00035	858	499	1154	2.081	0.593	0.078	0.013	4	0.5	18	35	21.7756	5.1499	5.0510	32.5453	27.4943	4.2284
sub-23698	ses-1	CC400	lh	region00036	331	215	755	3.057	0.438	0.117	0.022	4	0.3	19	36	29.1725	6.4752	7.5376	39.6744	32.1367	4.5053
sub-23698	ses-1	CC400	lh	region00038	318	208	572	2.780	0.409	0.111	0.015	3	0.2	20	38	34.3719	4.5984	11.4648	42.3870	30.9222	7.4747
